Home_Away,WL_encoded,TEAM_ID,TEAM_ID_OPP,YEAR,MONTH,DAY,MATCHUP_ID,Date,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,AST,OREB,TOV,STL,BLK,REB,MIN,DREB,ORtg_Oliver,DRtg_Oliver,PTS_OPP,FGM_OPP,FGA_OPP,FG3M_OPP,FG3A_OPP,FTM_OPP,FTA_OPP,AST_OPP,OREB_OPP,DREB_OPP,TOV_OPP,STL_OPP,BLK_OPP,REB_OPP,MIN_OPP,ORtg_Oliver_OPP,DRtg_Oliver_OPP,PTS_PER_MIN,FG_PCT,FG3_PCT,FT_PCT,TS%,eFG%,AST%,Offensive_Possessions,ORtg,PER%,OFF_EFF,PTS_PER_MIN_OPP,FG_PCT_OPP,FG3_PCT_OPP,FT_PCT_OPP,TS%_OPP,eFG%_OPP,AST%_OPP,Defensive_Possessions,DRtg,DPER%,PTS_DIFF,PTS_PER_MIN_DIFF,FG_PCT_DIFF,FG3_PCT_DIFF,FT_PCT_DIFF,TS%_DIFF,eFG%_DIFF,AST%_DIFF,ORtg_DIFF,PER%_DIFF,ORtg_Oliver_DIFF,DRtg_Oliver_DIFF
Away,,1610612750,1610612751,2024,1,25,BKNMIN,2024-01-25,107.0,41.0,85.0,8.0,24.0,17.0,22.0,21.0,7.0,8.0,7.0,6.0,44.0,240.0,37.0,82.89382830180067,109.49892780392535,102.0,39.0,90.0,13.0,35.0,11.0,14.0,21.0,7.0,33.0,9.0,6.0,8.0,40.0,239.0,83.05951307930512,114.78846241937384,0.4458333333333333,0.4823529411764706,0.3333333333333333,0.7727272727272727,0.5650612589776087,0.5294117647058824,24.705882352941178,95.68,111.83110367892976,124.37290969899664,0.5625,0.4267782426778242,0.4333333333333333,0.3714285714285714,0.7857142857142857,0.5303660565723793,0.5055555555555555,23.33333333333333,98.16,103.9119804400978,120.21189894050532,5.0,0.019055090655509,-0.0490196078431372,0.0380952380952381,0.0129870129870129,-0.0346952024052293,-0.0238562091503268,-1.3725490196078454,-7.919123238831972,-4.161010758491329,-0.1656847775044525,-5.289534615448488
Away,,1610612758,1610612744,2024,1,25,GSWSAC,2024-01-25,111.5,39.833333333333336,94.16666666666669,13.166666666666666,40.333333333333336,18.666666666666668,23.666666666666668,23.666666666666668,12.333333333333334,13.166666666666666,8.0,4.0,46.833333333333336,240.16666666666663,34.5,75.79666999508471,110.5568742188192,112.16666666666669,40.833333333333336,88.83333333333333,13.5,36.0,17.0,22.166666666666668,28.83333333333333,9.833333333333334,36.16666666666666,15.666666666666666,8.666666666666666,5.0,46.0,239.83333333333331,72.92041433733188,109.4574928322542,0.4642609299097849,0.4230088495575221,0.3264462809917355,0.7887323943661972,0.5330847198317077,0.4929203539823009,25.13274336283186,105.41333333333336,105.774095623577,116.05110043005308,0.6141568355308814,0.467685892981237,0.4596622889305816,0.375,0.7669172932330827,0.5688734108736815,0.5356472795497186,32.4577861163227,104.42,107.41875758156164,121.78382174551491,-0.6666666666666714,-0.003424963071452,0.0366534393730595,0.0485537190082644,-0.0218151011331145,0.0357886910419738,0.0427269255674176,7.325042753490841,1.6446619579846526,5.732721315461831,2.876255657752836,1.0993813865649995
Home,,1610612744,1610612758,2024,1,25,GSWSAC,2024-01-25,112.16666666666669,40.833333333333336,88.83333333333333,13.5,36.0,17.0,22.166666666666668,28.83333333333333,9.833333333333334,15.666666666666666,8.666666666666666,5.0,46.0,239.83333333333331,36.16666666666666,72.92041433733188,109.4574928322542,111.5,39.833333333333336,94.16666666666669,13.166666666666666,40.333333333333336,18.666666666666668,23.666666666666668,23.666666666666668,12.333333333333334,34.5,13.166666666666666,8.0,4.0,46.833333333333336,240.16666666666663,75.79666999508471,110.5568742188192,0.467685892981237,0.4596622889305816,0.375,0.7669172932330827,0.5688734108736815,0.5356472795497186,32.4577861163227,104.42,107.41875758156164,121.78382174551491,0.6289089645587214,0.4642609299097849,0.4230088495575221,0.3264462809917355,0.7887323943661972,0.5330847198317077,0.4929203539823009,25.13274336283186,105.41333333333336,105.774095623577,116.05110043005308,0.6666666666666714,0.003424963071452,-0.0366534393730595,-0.0485537190082644,0.0218151011331145,-0.0357886910419738,-0.0427269255674176,-7.325042753490841,-1.6446619579846526,-5.732721315461831,-2.876255657752836,-1.0993813865649995
Away,,1610612741,1610612747,2024,1,25,CHILAL,2024-01-25,118.0,47.0,87.0,14.0,31.0,10.0,13.0,32.0,8.0,9.0,8.0,2.0,42.0,240.0,34.0,83.9491367779776,110.03097714023724,108.0,38.0,75.0,13.0,36.0,19.0,28.0,24.0,8.0,30.0,18.0,5.0,4.0,38.0,240.0,65.38339949990547,129.57388562517718,0.4916666666666666,0.5402298850574713,0.4516129032258064,0.7692307692307693,0.6363244176013805,0.6206896551724138,36.7816091954023,93.72,125.9069568928724,145.11310285958174,0.6583333333333333,0.45,0.5066666666666667,0.3611111111111111,0.6785714285714286,0.6184150251946863,0.5933333333333334,32.0,97.32,110.97410604192356,106.86395396629676,10.0,0.0416666666666666,-0.0335632183908045,-0.0905017921146953,-0.0906593406593406,-0.0179093924066942,-0.0273563218390804,-4.781609195402297,-14.93285085094884,-38.249148893285,18.56573727807213,-19.542908484939943
Home,,1610612747,1610612741,2024,1,25,CHILAL,2024-01-25,108.0,38.0,75.0,13.0,36.0,19.0,28.0,24.0,8.0,18.0,5.0,4.0,38.0,240.0,30.0,65.38339949990547,129.57388562517718,118.0,47.0,87.0,14.0,31.0,10.0,13.0,32.0,8.0,34.0,9.0,8.0,2.0,42.0,240.0,83.9491367779776,110.03097714023724,0.45,0.5066666666666667,0.3611111111111111,0.6785714285714286,0.6184150251946863,0.5933333333333334,32.0,97.32,110.97410604192356,106.86395396629676,0.5833333333333334,0.4916666666666666,0.5402298850574713,0.4516129032258064,0.7692307692307693,0.6363244176013805,0.6206896551724138,36.7816091954023,93.72,125.9069568928724,145.11310285958174,-10.0,-0.0416666666666666,0.0335632183908045,0.0905017921146953,0.0906593406593406,0.0179093924066942,0.0273563218390804,4.781609195402297,14.93285085094884,38.249148893285,-18.56573727807213,19.542908484939943
Away,,1610612755,1610612754,2024,1,25,INDPHI,2024-01-25,144.0,51.0,85.0,15.5,34.5,26.5,30.0,34.0,5.5,9.0,8.5,5.5,33.0,241.0,27.5,85.51446127288557,131.44744819801616,132.0,49.0,88.5,13.5,34.0,20.5,25.5,28.0,8.5,27.0,11.5,6.5,4.5,35.5,240.0,79.63018437747601,144.64664955271957,0.5975103734439834,0.6,0.4492753623188406,0.8833333333333333,0.7331975560081466,0.6911764705882353,40.0,101.7,141.5929203539823,136.18485742379548,0.7614107883817427,0.55,0.5536723163841808,0.3970588235294117,0.803921568627451,0.6618531889290012,0.6299435028248588,31.63841807909605,102.72,128.50467289719626,122.17679127725856,12.0,0.0475103734439833,-0.0463276836158191,-0.0522165387894288,-0.0794117647058822,-0.0713443670791453,-0.0612329677633765,-8.361581920903951,-13.088247456786036,-14.008066146536905,5.884276895409556,-13.199201354703405
Away,,1610612762,1610612764,2024,1,25,UTAWAS,2024-01-25,112.0,44.0,94.0,14.0,40.0,10.0,11.0,33.0,7.0,12.0,4.0,3.0,42.0,237.0,35.0,82.10475194986806,125.09722608133109,121.0,44.0,88.0,16.0,36.0,17.0,20.0,27.0,6.0,40.0,9.0,6.0,8.0,46.0,240.0,84.42497034238825,112.7797231836829,0.4725738396624472,0.4680851063829787,0.35,0.9090909090909092,0.56657223796034,0.5425531914893617,35.1063829787234,103.84,107.8582434514638,123.26656394453003,0.6413502109704642,0.5041666666666667,0.5,0.4444444444444444,0.85,0.625,0.5909090909090909,30.681818181818183,99.8,121.24248496993988,138.27655310621242,-9.0,-0.0315928270042193,0.0319148936170212,0.0944444444444444,-0.059090909090909,0.05842776203966,0.0483558994197292,-4.424564796905219,13.384241518476088,15.009989161682384,-2.3202183925201894,12.317502897648184
Home,,1610612754,1610612755,2024,1,25,INDPHI,2024-01-25,132.0,49.0,88.5,13.5,34.0,20.5,25.5,28.0,8.5,11.5,6.5,4.5,35.5,240.0,27.0,79.63018437747601,144.64664955271957,144.0,51.0,85.0,15.5,34.5,26.5,30.0,34.0,5.5,27.5,9.0,8.5,5.5,33.0,241.0,85.51446127288557,131.44744819801616,0.55,0.5536723163841808,0.3970588235294117,0.803921568627451,0.6618531889290012,0.6299435028248588,31.63841807909605,102.72,128.50467289719626,122.17679127725856,0.7020833333333333,0.5975103734439834,0.6,0.4492753623188406,0.8833333333333333,0.7331975560081466,0.6911764705882353,40.0,101.7,141.5929203539823,136.18485742379548,-12.0,-0.0475103734439833,0.0463276836158191,0.0522165387894288,0.0794117647058822,0.0713443670791453,0.0612329677633765,8.361581920903951,13.088247456786036,14.008066146536905,-5.884276895409556,13.199201354703405
Home,,1610612764,1610612762,2024,1,25,UTAWAS,2024-01-25,121.0,44.0,88.0,16.0,36.0,17.0,20.0,27.0,6.0,9.0,6.0,8.0,46.0,240.0,40.0,84.42497034238825,112.7797231836829,112.0,44.0,94.0,14.0,40.0,10.0,11.0,33.0,7.0,35.0,12.0,4.0,3.0,42.0,237.0,82.10475194986806,125.09722608133109,0.5041666666666667,0.5,0.4444444444444444,0.85,0.625,0.5909090909090909,30.681818181818183,99.8,121.24248496993988,138.27655310621242,0.6416666666666667,0.4725738396624472,0.4680851063829787,0.35,0.9090909090909092,0.56657223796034,0.5425531914893617,35.1063829787234,103.84,107.8582434514638,123.26656394453003,9.0,0.0315928270042193,-0.0319148936170212,-0.0944444444444444,0.059090909090909,-0.05842776203966,-0.0483558994197292,4.424564796905219,-13.384241518476088,-15.009989161682384,2.3202183925201894,-12.317502897648184
Away,,1610612738,1610612748,2024,1,25,BOSMIA,2024-01-25,104.25,37.0,83.5,11.5,38.5,18.75,24.0,23.0,11.25,13.5,5.0,6.25,46.75,239.75,35.5,73.29684302736855,114.58967332431364,107.0,36.75,86.5,13.25,32.5,20.25,25.25,21.5,11.0,33.25,9.0,6.0,3.0,44.25,240.5,81.2461938041439,111.22077884987876,0.4348279457768509,0.4431137724550898,0.2987012987012987,0.78125,0.5541675526259834,0.5119760479041916,27.54491017964072,96.31,108.24421140068527,120.4443982971654,0.5776850886339937,0.4449064449064449,0.4248554913294797,0.4076923076923077,0.801980198019802,0.5480995799610696,0.5014450867052023,24.85549132947977,95.61,111.912979813827,121.06474218178012,-2.75,-0.010078499129594,-0.01825828112561,0.108991008991009,0.020730198019802,-0.0060679726649137,-0.0105309611989893,-2.6894188501609517,3.66876841314172,0.6203438846147264,-7.949350776775347,3.3688944744348674
